com/google/android/gles_jni/EGLDisplayImpl.<init>, inclusiveCpuTime:31, inclusiveRealTime:30, call times:1, cpuTime:31/call, realTime:30/call
android/view/ViewTreeObserver$CopyOnWriteArray.size, inclusiveCpuTime:120, inclusiveRealTime:121, call times:4, cpuTime:30/call, realTime:30/call
libcore/net/url/UrlUtils.isValidSchemeChar, inclusiveCpuTime:0, inclusiveRealTime:0, call times:4, cpuTime:0/call, realTime:0/call
java/nio/Buffer.position, inclusiveCpuTime:4883, inclusiveRealTime:6563, call times:364, cpuTime:13/call, realTime:18/call
android/content/ContextWrapper.getSystemService, inclusiveCpuTime:7782, inclusiveRealTime:10650, call times:28, cpuTime:277/call, realTime:380/call
com/tencent/mobileqq/emosm/Client$onRemoteRespObserver.<clinit>, inclusiveCpuTime:0, inclusiveRealTime:30, call times:1, cpuTime:0/call, realTime:30/call
java/util/concurrent/locks/AbstractQueuedSynchronizer.doReleaseShared, inclusiveCpuTime:122, inclusiveRealTime:92, call times:3, cpuTime:40/call, realTime:30/call
com/tencent/smtt/sdk/TbsCoreLoadStat.addErrorCode, inclusiveCpuTime:427, inclusiveRealTime:427, call times:1, cpuTime:427/call, realTime:427/call
android/content/pm/ApplicationInfo.<init>, inclusiveCpuTime:14251, inclusiveRealTime:15501, call times:18, cpuTime:791/call, realTime:861/call
java/util/TimeZone.getTimeZone, inclusiveCpuTime:3174, inclusiveRealTime:3205, call times:1, cpuTime:3174/call, realTime:3205/call
android/os/Message$1.createFromParcel, inclusiveCpuTime:183, inclusiveRealTime:183, call times:1, cpuTime:183/call, realTime:183/call
java/nio/charset/Charset.checkCharsetName, inclusiveCpuTime:7416, inclusiveRealTime:7510, call times:44, cpuTime:168/call, realTime:170/call
oicq/wlogin_sdk/tools/util.get_char, inclusiveCpuTime:824, inclusiveRealTime:798, call times:210, cpuTime:3/call, realTime:3/call
android/graphics/drawable/Drawable.createFromXml, inclusiveCpuTime:20752, inclusiveRealTime:23132, call times:3, cpuTime:6917/call, realTime:7710/call
android/graphics/PaintFlagsDrawFilter.<init>, inclusiveCpuTime:153, inclusiveRealTime:122, call times:2, cpuTime:76/call, realTime:61/call
oicq/wlogin_sdk/tools/util.get_apn_string, inclusiveCpuTime:41015, inclusiveRealTime:54962, call times:1, cpuTime:41015/call, realTime:54962/call
com/tencent/theme/SkinEngine.isSupportPlatform, inclusiveCpuTime:794, inclusiveRealTime:793, call times:1, cpuTime:794/call, realTime:793/call
com/tencent/feedback/proguard/w.g, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/graphics/Canvas.<init>, inclusiveCpuTime:549, inclusiveRealTime:550, call times:7, cpuTime:78/call, realTime:78/call
java/util/concurrent/ConcurrentLinkedQueue.checkNotNull, inclusiveCpuTime:0, inclusiveRealTime:0, call times:2, cpuTime:0/call, realTime:0/call
android/graphics/PaintFlagsDrawFilter.nativeConstructor, inclusiveCpuTime:31, inclusiveRealTime:31, call times:2, cpuTime:15/call, realTime:15/call
com/tencent/mobileqq/musicgene/MusicGeneWebViewPlugin.onWebViewCreated, inclusiveCpuTime:9704, inclusiveRealTime:16144, call times:1, cpuTime:9704/call, realTime:16144/call
com/tencent/smtt/sdk/TbsDownloadConfig.getDownloadFailedMaxRetrytimes, inclusiveCpuTime:5249, inclusiveRealTime:16601, call times:1, cpuTime:5249/call, realTime:16601/call
android/widget/ImageView.getDrawable, inclusiveCpuTime:31, inclusiveRealTime:31, call times:6, cpuTime:5/call, realTime:5/call
java/util/concurrent/FutureTask.finishCompletion, inclusiveCpuTime:123, inclusiveRealTime:122, call times:3, cpuTime:41/call, realTime:40/call
com/android/internal/view/IInputConnectionWrapper.dispatchMessage, inclusiveCpuTime:275, inclusiveRealTime:244, call times:1, cpuTime:275/call, realTime:244/call
libcore/io/Posix.sysconf, inclusiveCpuTime:397, inclusiveRealTime:397, call times:1, cpuTime:397/call, realTime:397/call
com/tencent/mobileqq/activity/QQBrowserActivity.initFinish, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/view/GLES20Canvas.nClearLayerUpdates, inclusiveCpuTime:60, inclusiveRealTime:61, call times:2, cpuTime:30/call, realTime:30/call
android/view/View.getWindowToken, inclusiveCpuTime:30, inclusiveRealTime:30, call times:3, cpuTime:10/call, realTime:10/call
